,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
0,,NYPD,New York City Police Department,4038160058,QUEENS,,,RIDGEWOOD,2020-03-18T03:05:58.000,05 QUEENS,Illegal Parking,2020-03-18T00:00:02.000,77 AVENUE,77 ROAD,Blocked Hydrant,,,77-24 79 PLACE,11385,77 AVENUE,77 ROAD,79 PLACE,40.70607801727969,"{'type': 'Point', 'coordinates': [-73.87115492168174, 40.70607801727969]}",,,,Street/Sidewalk,,-73.87115492168174,MOBILE,QUEENS,Unspecified,2020-03-18T07:06:04.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,79 PLACE,,,45849109,1019973,196546
1,,NYPD,New York City Police Department,3050820003,BROOKLYN,,,BROOKLYN,2020-03-18T12:40:05.000,14 BROOKLYN,Noise - Residential,2020-03-18T00:00:06.000,EAST   21 STREET,FLATBUSH AVENUE,Banging/Pounding,,,2114 CATON AVENUE,11226,EAST   21 STREET,FLATBUSH AVENUE,CATON AVENUE,40.6527106495672,"{'type': 'Point', 'coordinates': [-73.95993909432504, 40.6527106495672]}",,,,Residential Building/House,,-73.95993909432504,PHONE,BROOKLYN,Unspecified,2020-03-18T16:40:08.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,CATON AVENUE,,,45843488,995366,177079
2,,NYPD,New York City Police Department,3073440064,BROOKLYN,,,BROOKLYN,2020-03-18T10:07:12.000,15 BROOKLYN,Blocked Driveway,2020-03-18T00:00:56.000,AVENUE U,AVENUE V,No Access,,,2135 EAST   12 STREET,11229,AVENUE U,AVENUE V,EAST   12 STREET,40.59758704660017,"{'type': 'Point', 'coordinates': [-73.96001177736134, 40.59758704660017]}",,,,,,-73.96001177736134,PHONE,BROOKLYN,Unspecified,2020-03-18T14:07:15.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,EAST   12 STREET,,,45849296,995355,156996
3,,NYPD,New York City Police Department,1003900061,MANHATTAN,,,NEW YORK,2020-03-18T03:58:25.000,03 MANHATTAN,Noise - Residential,2020-03-18T00:01:05.000,AVENUE B,AVENUE C,Loud Music/Party,,,189 EAST    7 STREET,10009,AVENUE B,AVENUE C,EAST    7 STREET,40.72480187834029,"{'type': 'Point', 'coordinates': [-73.98054316575427, 40.72480187834029]}",,,,Residential Building/House,,-73.98054316575427,MOBILE,MANHATTAN,Unspecified,2020-03-18T07:58:32.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST    7 STREET,,,45846330,989643,203342
4,ADDRESS,HPD,Department of Housing Preservation and Development,4031730055,QUEENS,,,Forest Hills,2020-03-24T09:35:22.000,06 QUEENS,UNSANITARY CONDITION,2020-03-18T00:01:18.000,,,GARBAGE/RECYCLING STORAGE,,,103-11 68 DRIVE,11375,,,,40.72397388854547,"{'type': 'Point', 'coordinates': [-73.85071125881217, 40.72397388854547]}",,,,RESIDENTIAL BUILDING,,-73.85071125881217,ONLINE,QUEENS,Unspecified,2020-03-24T09:35:22.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,Closed,68 DRIVE,,,45856468,1025630,203075
5,ADDRESS,HPD,Department of Housing Preservation and Development,3033950006,BROOKLYN,,,BROOKLYN,2020-03-18T19:32:35.000,04 BROOKLYN,HEAT/HOT WATER,2020-03-18T00:01:52.000,,,ENTIRE BUILDING,,,1225 BUSHWICK AVENUE,11221,,,,40.68782225004939,"{'type': 'Point', 'coordinates': [-73.91518090940696, 40.68782225004939]}",,,,RESIDENTIAL BUILDING,,-73.91518090940696,ONLINE,BROOKLYN,Unspecified,2020-03-18T19:32:35.000,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",,Closed,BUSHWICK AVENUE,,,45855046,1007773,189880
6,INTERSECTION,DOT,Department of Transportation,2054700035,BRONX,,,BRONX,2020-03-19T00:40:00.000,10 BRONX,Street Light Condition,2020-03-18T00:02:00.000,BARKLEY AVE,LAFAYETTE AVE,Street Light Out,,,916 DEAN AVENUE,10465,DEAN AVENUE,LAFAYETTE AVENUE,,40.83320166044467,"{'type': 'Point', 'coordinates': [-73.81701073542892, 40.83320166044467]}",,,,,,-73.81701073542892,UNKNOWN,BRONX,Unspecified,2020-03-19T00:40:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,DEAN AVENUE,,,45844262,1034888,242888
7,ADDRESS,DEP,Department of Environmental Protection,3007480063,BROOKLYN,,,BROOKLYN,,07 BROOKLYN,Noise,2020-03-18T00:02:00.000,5 AVE,6 AVE,"Noise, Barking Dog (NR5)",,N/A,535 46 STREET,11220,,,,40.64683259148571,"{'type': 'Point', 'coordinates': [-74.0071170668985, 40.64683259148571]}",,,,,,-74.0071170668985,PHONE,BROOKLYN,Unspecified,,,,Open,46 STREET,,,45852596,982275,174935
8,ADDRESS,DEP,Department of Environmental Protection,1010030005,MANHATTAN,,,NEW YORK,2020-03-18T21:15:00.000,05 MANHATTAN,Noise,2020-03-18T00:03:00.000,AVENUE OF THE AMERICAS,7 AVE,Noise: Construction Before/After Hours (NM1),,N/A,135 WEST   50 STREET,10020,,,,40.76037400898184,"{'type': 'Point', 'coordinates': [-73.98153266736522, 40.76037400898184]}",,,,,,-73.98153266736522,ONLINE,MANHATTAN,Unspecified,2020-03-18T21:15:00.000,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,Closed,WEST   50 STREET,,,45850585,989366,216302
9,,NYPD,New York City Police Department,,QUEENS,,,,2020-03-18T06:35:46.000,09 QUEENS,Noise - Vehicle,2020-03-18T00:03:41.000,92 AVENUE,130 STREET,Car/Truck Music,,,92 AVENUE,11418,92 AVENUE,130 STREET,,40.69761045913149,"{'type': 'Point', 'coordinates': [-73.82004436811181, 40.69761045913149]}",,,,Street/Sidewalk,,-73.82004436811181,PHONE,QUEENS,Unspecified,2020-03-18T10:35:48.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,92 AVENUE,,,45843555,1034150,193486
