,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
0,,NYPD,New York City Police Department,3055950019,BROOKLYN,,,,BROOKLYN,2020-03-22T03:49:51.000,12 BROOKLYN,Noise - Residential,2020-03-22T00:01:58.000,9 AVENUE,10 AVENUE,Loud Music/Party,,,944 42 STREET,11219,9 AVENUE,10 AVENUE,42 STREET,40.64364329657273,"{'type': 'Point', 'coordinates': [-73.99582725593284, 40.64364329657273]}",,,,Residential Building/House,,-73.99582725593284,ONLINE,BROOKLYN,Unspecified,2020-03-22T07:49:52.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,42 STREET,,,45874715,,985408,173773
1,,NYPD,New York City Police Department,1002600001,MANHATTAN,,,,NEW YORK,2020-03-22T06:08:04.000,03 MANHATTAN,Noise - Residential,2020-03-22T00:02:23.000,GOUVERNEUR SLIP EAST,JACKSON STREET,Loud Music/Party,,,638 WATER STREET,10002,GOUVERNEUR SLIP EAST,JACKSON STREET,WATER STREET,40.711396807898616,"{'type': 'Point', 'coordinates': [-73.98264999973684, 40.711396807898616]}",,,,Residential Building/House,,-73.98264999973684,ONLINE,MANHATTAN,Unspecified,2020-03-22T10:08:05.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,WATER STREET,,,45874226,,989060,198458
2,,NYPD,New York City Police Department,3011490018,BROOKLYN,,,,BROOKLYN,2020-03-22T01:03:06.000,08 BROOKLYN,Noise - Residential,2020-03-22T00:03:17.000,CLASSON AVENUE,FRANKLIN AVENUE SHUTTLE LINE,Banging/Pounding,,,475 ST MARKS AVENUE,11238,CLASSON AVENUE,FRANKLIN AVENUE SHUTTLE LINE,ST MARKS AVENUE,40.67643873731535,"{'type': 'Point', 'coordinates': [-73.95846474391197, 40.67643873731535]}",,,,Residential Building/House,,-73.95846474391197,ONLINE,BROOKLYN,Unspecified,2020-03-22T05:03:08.000,The Police Department responded to the complaint but officers were unable to gain entry into the pre,,Closed,ST MARKS AVENUE,,,45874713,,995771,185724
3,,NYPD,New York City Police Department,1002600001,MANHATTAN,,,,NEW YORK,2020-03-22T06:08:19.000,03 MANHATTAN,Noise - Residential,2020-03-22T00:03:38.000,GOUVERNEUR SLIP EAST,JACKSON STREET,Loud Music/Party,,,638 WATER STREET,10002,GOUVERNEUR SLIP EAST,JACKSON STREET,WATER STREET,40.711396807898616,"{'type': 'Point', 'coordinates': [-73.98264999973684, 40.711396807898616]}",,,,Residential Building/House,,-73.98264999973684,ONLINE,MANHATTAN,Unspecified,2020-03-22T10:08:25.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,WATER STREET,,,45874832,,989060,198458
4,,NYPD,New York City Police Department,1002460001,MANHATTAN,,,,NEW YORK,2020-03-22T04:37:56.000,03 MANHATTAN,Noise - Residential,2020-03-22T00:03:42.000,RUTGERS SLIP,CLINTON STREET,Loud Music/Party,,,275 SOUTH STREET,10002,RUTGERS SLIP,CLINTON STREET,SOUTH STREET,40.710357183607535,"{'type': 'Point', 'coordinates': [-73.98760991243229, 40.710357183607535]}",,,,Residential Building/House,,-73.98760991243229,ONLINE,MANHATTAN,Unspecified,2020-03-22T08:38:03.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,SOUTH STREET,,,45870289,,987685,198079
5,,DCA,Department of Consumer Affairs,3076900004,BROOKLYN,,,,BROOKLYN,2020-03-23T15:05:09.000,15 BROOKLYN,Consumer Complaint,2020-03-22T00:04:40.000,EAST   29 STREET,BURNETT STREET,Retail Store,,,2915 AVENUE P,11229,EAST   29 STREET,BURNETT STREET,AVENUE P,40.61195510451178,"{'type': 'Point', 'coordinates': [-73.9445050728249, 40.61195510451178]}",,,,Commercial Building,,-73.9445050728249,ONLINE,BROOKLYN,Unspecified,2020-03-23T19:05:27.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,AVENUE P,,,45874739,,999658,162233
6,,NYPD,New York City Police Department,1022370064,MANHATTAN,,,,NEW YORK,2020-03-22T01:45:09.000,12 MANHATTAN,Noise - Residential,2020-03-22T00:04:47.000,BROADWAY,SEAMAN AVENUE,Loud Music/Party,,,19 CUMMING STREET,10034,BROADWAY,SEAMAN AVENUE,CUMMING STREET,40.86657268279735,"{'type': 'Point', 'coordinates': [-73.92636701169785, 40.86657268279735]}",,,,Residential Building/House,,-73.92636701169785,ONLINE,MANHATTAN,Unspecified,2020-03-22T05:45:11.000,The Police Department responded to the complaint but officers were unable to gain entry into the pre,,Closed,CUMMING STREET,,,45873990,,1004616,255002
7,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,,BROOKLYN,2020-03-24T08:40:00.000,17 BROOKLYN,Street Condition,2020-03-22T00:06:23.000,,,Pothole,,,,11210,EAST 34 STREET,GLENWOOD ROAD,,40.634237034786175,"{'type': 'Point', 'coordinates': [-73.94391368264571, 40.634237034786175]}",,,,,,-73.94391368264571,UNKNOWN,BROOKLYN,Unspecified,2020-03-24T08:40:00.000,The Department of Transportation inspected this complaint and repaired the problem.,,Closed,,,,45873610,,999817,170351
8,ADDRESS,DSNY,BCC - Brooklyn South,3055927505,BROOKLYN,,,,BROOKLYN,2020-03-23T12:00:00.000,12 BROOKLYN,Missed Collection (All Materials),2020-03-22T00:07:00.000,FT HAMILTON PARKWAY,12 AVENUE,1 Missed Collection,,DSNY Garage,1155 42 STREET,11219,,,,40.64095590234112,"{'type': 'Point', 'coordinates': [-73.99135217405616, 40.64095590234112]}",,,,Sidewalk,,-73.99135217405616,ONLINE,BROOKLYN,Unspecified,2020-03-23T12:00:00.000,The Department of Sanitation investigated this complaint and found no condition at the location.,,Closed,42 STREET,,,45877773,,986650,172794
9,,NYPD,New York City Police Department,4089880108,QUEENS,,,,WOODHAVEN,2020-03-22T07:00:45.000,09 QUEENS,Noise - Residential,2020-03-22T00:07:11.000,92 STREET,BEND,Loud Music/Party,,,92-30 93 AVENUE,11421,92 STREET,BEND,93 AVENUE,40.68825839530809,"{'type': 'Point', 'coordinates': [-73.85027198402734, 40.68825839530809]}",,,,Residential Building/House,,-73.85027198402734,MOBILE,QUEENS,Unspecified,2020-03-22T11:00:49.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,93 AVENUE,,,45873541,,1025774,190063
10,,NYPD,New York City Police Department,1021740012,MANHATTAN,,,,NEW YORK,2020-03-22T01:45:54.000,12 MANHATTAN,Noise - Street/Sidewalk,2020-03-22T00:07:20.000,NAGLE AVENUE,SHERMAN AVENUE,Loud Music/Party,,,55 SICKLES STREET,10040,NAGLE AVENUE,SHERMAN AVENUE,SICKLES STREET,40.86160851541028,"{'type': 'Point', 'coordinates': [-73.92793789691946, 40.86160851541028]}",,,,Street/Sidewalk,,-73.92793789691946,MOBILE,MANHATTAN,Unspecified,2020-03-22T05:45:58.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,SICKLES STREET,,,45873343,,1004183,253193
11,,NYPD,New York City Police Department,4001510037,QUEENS,,,,WOODSIDE,2020-03-22T01:51:46.000,02 QUEENS,Noise - Residential,2020-03-22T00:07:45.000,GREENPOINT AVENUE,47 AVENUE,Loud Music/Party,,,45-49 47 STREET,11377,GREENPOINT AVENUE,47 AVENUE,47 STREET,40.74225560666541,"{'type': 'Point', 'coordinates': [-73.91791199458693, 40.74225560666541]}",,,,Residential Building/House,,-73.91791199458693,ONLINE,QUEENS,Unspecified,2020-03-22T05:51:53.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,47 STREET,,,45871324,,1006997,209711
12,,DCA,Department of Consumer Affairs,1011960002,MANHATTAN,,,,NEW YORK,2020-03-23T15:05:07.000,07 MANHATTAN,Consumer Complaint,2020-03-22T00:08:11.000,WEST   82 STREET,WEST   83 STREET,Retail Store,,,463 COLUMBUS AVENUE,10024,WEST   82 STREET,WEST   83 STREET,COLUMBUS AVENUE,40.784048658647215,"{'type': 'Point', 'coordinates': [-73.97393938037715, 40.784048658647215]}",,,,Commercial Building,,-73.97393938037715,ONLINE,MANHATTAN,Unspecified,2020-03-23T19:05:26.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,COLUMBUS AVENUE,,,45870353,,991467,224928
13,,NYPD,New York City Police Department,3019770031,BROOKLYN,,,,BROOKLYN,2020-03-22T01:18:02.000,02 BROOKLYN,Noise - Residential,2020-03-22T00:08:15.000,CLINTON AVENUE,WAVERLY AVENUE,Loud Music/Party,,,923 FULTON STREET,11238,CLINTON AVENUE,WAVERLY AVENUE,FULTON STREET,40.68336086623108,"{'type': 'Point', 'coordinates': [-73.96627727011729, 40.68336086623108]}",,,,Residential Building/House,,-73.96627727011729,ONLINE,BROOKLYN,Unspecified,2020-03-22T05:18:15.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,FULTON STREET,,,45873326,,993603,188245
14,ADDRESS,DEP,Department of Environmental Protection,3034830024,BROOKLYN,,,,BROOKLYN,2020-03-24T00:40:00.000,05 BROOKLYN,Water System,2020-03-22T00:09:00.000,FANCHON PL,MARGINAL ST W,Hydrant Leaking (WC1),,,72 HIGHLAND BOULEVARD,11207,,,,40.67959883331419,"{'type': 'Point', 'coordinates': [-73.89816690217097, 40.67959883331419]}",,,,,,-73.89816690217097,MOBILE,BROOKLYN,Unspecified,2020-03-24T00:40:00.000,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,,Closed,HIGHLAND BOULEVARD,,,45879286,,1012495,186889
15,,NYPD,New York City Police Department,2028140025,BRONX,,,,BRONX,2020-03-22T08:06:32.000,05 BRONX,Noise - Residential,2020-03-22T00:09:01.000,ECHO PLACE,EAST  178 STREET,Banging/Pounding,,,1930 ANTHONY AVENUE,10457,ECHO PLACE,EAST  178 STREET,ANTHONY AVENUE,40.84954371537713,"{'type': 'Point', 'coordinates': [-73.90296711718634, 40.84954371537713]}",,,,Residential Building/House,,-73.90296711718634,ONLINE,BRONX,Unspecified,2020-03-22T12:06:38.000,The Police Department reviewed your complaint and provided additional information below.,,Closed,ANTHONY AVENUE,,,45874825,,1011095,248804
16,,NYPD,New York City Police Department,1021730029,MANHATTAN,,,,NEW YORK,2020-03-22T01:45:42.000,12 MANHATTAN,Noise - Residential,2020-03-22T00:09:02.000,THAYER STREET,HILLSIDE AVENUE,Loud Music/Party,,,165 NAGLE AVENUE,10040,THAYER STREET,HILLSIDE AVENUE,NAGLE AVENUE,40.86128040014401,"{'type': 'Point', 'coordinates': [-73.9255811426087, 40.86128040014401]}",,,,Residential Building/House,,-73.9255811426087,ONLINE,MANHATTAN,Unspecified,2020-03-22T05:45:44.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,NAGLE AVENUE,,,45873995,,1004835,253074
17,,NYPD,New York City Police Department,1005190050,MANHATTAN,,,,NEW YORK,2020-03-22T05:59:11.000,02 MANHATTAN,Noise - Residential,2020-03-22T00:09:39.000,AVENUE OF THE AMERICAS,VARICK STREET,Loud Music/Party,,,9 CHARLTON STREET,10014,AVENUE OF THE AMERICAS,VARICK STREET,CHARLTON STREET,40.7270157277186,"{'type': 'Point', 'coordinates': [-74.0039759212815, 40.7270157277186]}",,,,Residential Building/House,,-74.0039759212815,ONLINE,MANHATTAN,Unspecified,2020-03-22T09:59:12.000,The Police Department responded to the complaint but officers were unable to gain entry into the pre,,Closed,CHARLTON STREET,,,45874106,,983148,204148
