,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
0,ADDRESS,DEP,Department of Environmental Protection,1001320002,MANHATTAN,,,NEW YORK,2020-03-25T03:00:00.000,01 MANHATTAN,Noise,2020-03-24T00:01:00.000,W BROADWAY,GREENWICH ST,Noise: Construction Before/After Hours (NM1),,N/A,67 MURRAY STREET,10007,,,,40.714469042088645,"{'type': 'Point', 'coordinates': [-74.01030947736324, 40.714469042088645]}",,,,,,-74.01030947736324,ONLINE,MANHATTAN,Unspecified,2020-03-25T03:00:00.000,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,Closed,MURRAY STREET,,45885326,,981392,199577
1,,NYPD,New York City Police Department,2037430001,BRONX,,,BRONX,2020-03-24T03:47:07.000,09 BRONX,Noise - Residential,2020-03-24T00:01:10.000,WATSON AVENUE,WESTCHESTER AVENUE,Banging/Pounding,,,1105 STRATFORD AVENUE,10472,WATSON AVENUE,WESTCHESTER AVENUE,STRATFORD AVENUE,40.82672463462644,"{'type': 'Point', 'coordinates': [-73.87493209797937, 40.82672463462644]}",,,,Residential Building/House,,-73.87493209797937,PHONE,BRONX,Unspecified,2020-03-24T07:47:09.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,STRATFORD AVENUE,,45883324,,1018863,240500
2,,NYPD,New York City Police Department,3038200045,BROOKLYN,,,BROOKLYN,2020-03-24T00:41:45.000,05 BROOKLYN,Illegal Parking,2020-03-24T00:03:43.000,LIVONIA AVENUE,RIVERDALE AVENUE,Commercial Overnight Parking,,,536 GEORGIA AVENUE,11207,LIVONIA AVENUE,RIVERDALE AVENUE,GEORGIA AVENUE,40.66339141612398,"{'type': 'Point', 'coordinates': [-73.89565769880807, 40.66339141612398]}",,,,Street/Sidewalk,,-73.89565769880807,ONLINE,BROOKLYN,Unspecified,2020-03-24T04:41:49.000,The Police Department issued a summons in response to the complaint.,,Closed,GEORGIA AVENUE,,45883534,,1013198,180985
3,ADDRESS,DEP,Department of Environmental Protection,2027070011,BRONX,,,BRONX,2020-03-24T11:10:00.000,02 BRONX,Water System,2020-03-24T00:04:00.000,BEND,E 156 ST,No Water (WNW),,,745 FOX STREET,10455,,,,40.8152036852302,"{'type': 'Point', 'coordinates': [-73.89871446322147, 40.8152036852302]}",,,,,,-73.89871446322147,PHONE,BRONX,Unspecified,2020-03-24T11:10:00.000,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,,Closed,FOX STREET,,45890172,,1012286,236294
4,ADDRESS,DEP,Department of Environmental Protection,4069670019,QUEENS,,,Fresh Meadows,2020-03-24T08:10:00.000,08 QUEENS,Sewer,2020-03-24T00:04:00.000,164 ST,166 ST,Street Flooding (SJ),,,164-23 76 AVENUE,11366,,,,40.72583100315087,"{'type': 'Point', 'coordinates': [-73.80419460676296, 40.72583100315087]}",,,,,,-73.80419460676296,PHONE,QUEENS,Unspecified,2020-03-24T08:10:00.000,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",,Closed,76 AVENUE,,45890423,,1038522,203777
5,,DOT,Department of Transportation,1001320001,MANHATTAN,,,NEW YORK,2020-03-24T11:09:13.000,01 MANHATTAN,Street Condition,2020-03-24T00:05:07.000,MURRAY STREET,WARREN STREET,Plate Condition - Noisy,,,64 WEST BROADWAY,10007,MURRAY STREET,WARREN STREET,WEST BROADWAY,40.71460631000985,"{'type': 'Point', 'coordinates': [-74.00997041781397, 40.71460631000985]}",,,,Street,,-74.00997041781397,ONLINE,MANHATTAN,Unspecified,2020-03-24T15:09:22.000,The Department of Transportation inspected the condition you reported and found that the condition m,,Closed,WEST BROADWAY,,45884093,,981486,199627
6,,NYPD,New York City Police Department,4077540003,QUEENS,,,OAKLAND GARDENS,,11 QUEENS,Illegal Parking,2020-03-24T00:06:19.000,220 STREET,SPRINGFIELD BOULEVARD,Blocked Sidewalk,,,220-34 75 AVENUE,11364,220 STREET,SPRINGFIELD BOULEVARD,75 AVENUE,40.73953436475391,"{'type': 'Point', 'coordinates': [-73.75224457325704, 40.73953436475391]}",,,,Street/Sidewalk,,-73.75224457325704,ONLINE,QUEENS,Unspecified,,,,In Progress,75 AVENUE,,45881984,,1052907,208806
7,,NYPD,New York City Police Department,4006090029,QUEENS,,,ASTORIA,2020-03-24T05:06:46.000,01 QUEENS,Noise - Residential,2020-03-24T00:07:16.000,32 STREET,33 STREET,Loud Music/Party,,,32-20 34 AVENUE,11106,32 STREET,33 STREET,34 AVENUE,40.75917986116187,"{'type': 'Point', 'coordinates': [-73.92622583667851, 40.75917986116187]}",,,,Residential Building/House,,-73.92622583667851,ONLINE,QUEENS,Unspecified,2020-03-24T09:06:48.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,34 AVENUE,,45884767,,1004688,215875
8,,NYPD,New York City Police Department,2031570064,BRONX,,,BRONX,2020-03-24T11:26:53.000,05 BRONX,Noise - Residential,2020-03-24T00:07:25.000,EAST  181 STREET,EAST  182 STREET,Banging/Pounding,,,2165 RYER AVENUE,10457,EAST  181 STREET,EAST  182 STREET,RYER AVENUE,40.85455863917999,"{'type': 'Point', 'coordinates': [-73.90015830400407, 40.85455863917999]}",,,,Residential Building/House,,-73.90015830400407,ONLINE,BRONX,Unspecified,2020-03-24T15:26:55.000,The Police Department reviewed your complaint and provided additional information below.,,Closed,RYER AVENUE,,45879753,,1011870,250632
9,,NYPD,New York City Police Department,1005420053,MANHATTAN,,,NEW YORK,2020-03-24T02:45:06.000,02 MANHATTAN,Noise - Residential,2020-03-24T00:08:02.000,BLEECKER STREET,MINETTA LANE,Loud Music/Party,,,95 MACDOUGAL STREET,10012,BLEECKER STREET,MINETTA LANE,MAC DOUGAL STREET,40.72939824022615,"{'type': 'Point', 'coordinates': [-74.00100664400853, 40.72939824022615]}",,,,Residential Building/House,,-74.00100664400853,MOBILE,MANHATTAN,Unspecified,2020-03-24T06:45:30.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,MACDOUGAL STREET,,45881890,,983971,205016
10,,NYPD,New York City Police Department,3046320011,BROOKLYN,,,BROOKLYN,2020-03-24T01:16:43.000,17 BROOKLYN,Noise - Street/Sidewalk,2020-03-24T00:08:18.000,WINTHROP STREET,CLARKSON AVENUE,Loud Music/Party,,,178 ROCKAWAY PARKWAY,11212,WINTHROP STREET,CLARKSON AVENUE,ROCKAWAY PARKWAY,40.6623305003647,"{'type': 'Point', 'coordinates': [-73.92148500881818, 40.6623305003647]}",,,,Street/Sidewalk,,-73.92148500881818,ONLINE,BROOKLYN,Unspecified,2020-03-24T05:16:46.000,Your request can not be processed at this time because of insufficient contact information. Please c,,Closed,ROCKAWAY PARKWAY,,45884257,,1006033,180591
11,,NYPD,New York City Police Department,2028680105,BRONX,,,BRONX,2020-03-24T11:26:28.000,05 BRONX,Noise - Residential,2020-03-24T00:08:55.000,MORTON PLACE,WEST BURNSIDE AVENUE,Loud Talking,,,1928 DR MARTIN LUTHER KING JR BLVD,10453,MORTON PLACE,WEST BURNSIDE AVENUE,UNIVERSITY AVENUE,40.85331163840292,"{'type': 'Point', 'coordinates': [-73.912569670366, 40.85331163840292]}",,,,Residential Building/House,,-73.912569670366,MOBILE,BRONX,Unspecified,2020-03-24T15:26:35.000,The Police Department reviewed your complaint and provided additional information below.,,Closed,DR MARTIN LUTHER KING JR BLVD,,45881936,,1008437,250174
12,,NYPD,New York City Police Department,2050370026,BRONX,,,BRONX,2020-03-24T14:07:30.000,12 BRONX,Blocked Driveway,2020-03-24T00:09:16.000,CARPENTER AVENUE,MATILDA AVENUE,No Access,,,633 EAST  236 STREET,10466,CARPENTER AVENUE,MATILDA AVENUE,EAST  236 STREET,40.89635252915576,"{'type': 'Point', 'coordinates': [-73.85856026548782, 40.89635252915576]}",,,,Street/Sidewalk,,-73.85856026548782,ONLINE,BRONX,Unspecified,2020-03-24T18:07:44.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST  236 STREET,,45879698,,1023353,265875
13,,NYPD,New York City Police Department,1017570001,MANHATTAN,,,NEW YORK,2020-03-24T01:42:33.000,11 MANHATTAN,Noise - Residential,2020-03-24T00:09:22.000,EAST  132 STREET,HARLEM RIVER DRIVE EXIT   21 NB,Banging/Pounding,,,2120 MADISON AVENUE,10037,EAST  132 STREET,HARLEM RIVER DRIVE EXIT   21 NB,MADISON AVENUE,40.81091344774894,"{'type': 'Point', 'coordinates': [-73.93687944562053, 40.81091344774894]}",,,,,,-73.93687944562053,PHONE,MANHATTAN,Unspecified,2020-03-24T05:42:39.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,MADISON AVENUE,,45884078,,1001723,234721
14,ADDRESS,DEP,Department of Environmental Protection,1001420025,MANHATTAN,,,NEW YORK,2020-03-24T23:00:00.000,01 MANHATTAN,Noise,2020-03-24T00:10:00.000,GREENWICH ST,JOE DIMAGGIO HWY,Noise: Manufacturing Noise (NK1),,N/A,49 HARRISON STREET,10013,,,,40.7188825418322,"{'type': 'Point', 'coordinates': [-74.01111462671733, 40.7188825418322]}",,,,,,-74.01111462671733,ONLINE,MANHATTAN,Unspecified,2020-03-24T23:00:00.000,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,Closed,HARRISON STREET,,45887428,,981169,201185
15,,NYPD,New York City Police Department,3067570052,BROOKLYN,,,BROOKLYN,,14 BROOKLYN,Illegal Parking,2020-03-24T00:10:41.000,EAST   19 STREET,OCEAN AVENUE,Blocked Hydrant,,,1917 AVENUE O,11230,EAST   19 STREET,OCEAN AVENUE,AVENUE O,40.61341991136599,"{'type': 'Point', 'coordinates': [-73.95497061346597, 40.61341991136599]}",,,,,,-73.95497061346597,PHONE,BROOKLYN,Unspecified,,,,In Progress,AVENUE O,,45881158,,996752,162765
