,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
0,,NYPD,New York City Police Department,3016560030,BROOKLYN,,,BROOKLYN,2020-03-25T11:50:56.000,03 BROOKLYN,Noise - Residential,2020-03-25T00:01:06.000,STUYVESANT AVENUE,MALCOLM X BOULEVARD,Banging/Pounding,,,680 JEFFERSON AVENUE,11221,STUYVESANT AVENUE,MALCOLM X BOULEVARD,JEFFERSON AVENUE,40.68551597167343,"{'type': 'Point', 'coordinates': [-73.93056202576177, 40.68551597167343]}",,,,Residential Building/House,,-73.93056202576177,ONLINE,BROOKLYN,Unspecified,2020-03-25T15:50:58.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,JEFFERSON AVENUE,,,45889965,,1003508,189036
1,,NYPD,New York City Police Department,3083290225,BROOKLYN,,,BROOKLYN,2020-03-25T01:36:56.000,18 BROOKLYN,Noise - Residential,2020-03-25T00:01:08.000,BELT PARKWAY EXIT   13 WESTBOUND,EAST  102 STREET,Loud Music/Party,,,5935 SHORE PARKWAY,11236,BELT PARKWAY EXIT   13 WESTBOUND,EAST  102 STREET,SHORE PARKWAY,40.631446062234645,"{'type': 'Point', 'coordinates': [-73.88539297143048, 40.631446062234645]}",,,,Residential Building/House,,-73.88539297143048,ONLINE,BROOKLYN,Unspecified,2020-03-25T05:37:04.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,SHORE PARKWAY,,,45888559,,1016061,169350
2,,NYPD,New York City Police Department,1004110072,MANHATTAN,,,NEW YORK,2020-03-25T03:13:56.000,03 MANHATTAN,Graffiti,2020-03-25T00:01:25.000,LUDLOW STREET,ESSEX STREET,Police Report Requested,,,106 RIVINGTON STREET,10002,LUDLOW STREET,ESSEX STREET,RIVINGTON STREET,40.7199748658132,"{'type': 'Point', 'coordinates': [-73.98798691542007, 40.7199748658132]}",,,,Residential Building/House,,-73.98798691542007,ONLINE,MANHATTAN,Unspecified,2020-03-25T07:13:59.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,RIVINGTON STREET,,,45889398,,987580,201583
3,,NYPD,New York City Police Department,3013020001,BROOKLYN,,,BROOKLYN,2020-03-25T06:29:13.000,09 BROOKLYN,Noise - Street/Sidewalk,2020-03-25T00:01:30.000,MONTGOMERY STREET,SULLIVAN PLACE,Loud Music/Party,,,47 MCKEEVER PLACE,11225,MONTGOMERY STREET,SULLIVAN PLACE,MC KEEVER PLACE,40.66497675318992,"{'type': 'Point', 'coordinates': [-73.95903058778437, 40.66497675318992]}",,,,Street/Sidewalk,,-73.95903058778437,MOBILE,BROOKLYN,Unspecified,2020-03-25T10:29:14.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,MCKEEVER PLACE,,,45890044,,995616,181548
4,,NYPD,New York City Police Department,4097730005,QUEENS,,,JAMAICA,2020-03-25T04:34:54.000,08 QUEENS,Noise - Residential,2020-03-25T00:01:36.000,162 STREET,164 STREET,Banging/Pounding,,,162-15 HIGHLAND AVENUE,11432,162 STREET,164 STREET,HIGHLAND AVENUE,40.70989469064861,"{'type': 'Point', 'coordinates': [-73.80087969864582, 40.70989469064861]}",,,,Residential Building/House,,-73.80087969864582,ONLINE,QUEENS,Unspecified,2020-03-25T08:34:59.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,HIGHLAND AVENUE,,,45886443,,1039454,197973
5,,NYPD,New York City Police Department,2035570027,BRONX,,,BRONX,2020-03-25T03:07:02.000,09 BRONX,Noise - Residential,2020-03-25T00:01:40.000,RANDALL AVENUE,SEWARD AVENUE,Loud Music/Party,,,638 SAINT LAWRENCE AVENUE,10473,RANDALL AVENUE,SEWARD AVENUE,ST LAWRENCE AVENUE,40.81778096375687,"{'type': 'Point', 'coordinates': [-73.8640200687738, 40.81778096375687]}",,,,Residential Building/House,,-73.8640200687738,PHONE,BRONX,Unspecified,2020-03-25T07:07:06.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,SAINT LAWRENCE AVENUE,,,45886373,,1021888,237246
6,,NYPD,New York City Police Department,2023860144,BRONX,,,BRONX,2020-03-25T01:10:52.000,03 BRONX,Noise - Residential,2020-03-25T00:01:40.000,EAST  164 STREET,WEIHER COURT,Loud Music/Party,,,1011 WASHINGTON AVENUE,10456,EAST  164 STREET,WEIHER COURT,WASHINGTON AVENUE,40.82618349190198,"{'type': 'Point', 'coordinates': [-73.90974720069485, 40.82618349190198]}",,,,Residential Building/House,,-73.90974720069485,ONLINE,BRONX,Unspecified,2020-03-25T05:10:54.000,The Police Department responded to the complaint but officers were unable to gain entry into the pre,,Closed,WASHINGTON AVENUE,,,45887787,,1009228,240291
7,,NYPD,New York City Police Department,2025550127,BRONX,,,BRONX,2020-03-25T05:14:44.000,01 BRONX,Noise - Street/Sidewalk,2020-03-25T00:01:48.000,EAST  141 STREET,OAK TERRACE,Loud Music/Party,,,321 BEEKMAN AVENUE,10454,EAST  141 STREET,OAK TERRACE,BEEKMAN AVENUE,40.8082089843644,"{'type': 'Point', 'coordinates': [-73.91421833634347, 40.8082089843644]}",,,,Street/Sidewalk,,-73.91421833634347,MOBILE,BRONX,Unspecified,2020-03-25T09:14:48.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,BEEKMAN AVENUE,,,45886457,,1007997,233741
8,,NYPD,New York City Police Department,3017000062,BROOKLYN,,,BROOKLYN,2020-03-25T11:50:40.000,03 BROOKLYN,Noise - Residential,2020-03-25T00:02:18.000,HATTIE JONES PLACE,JEWELL MCKOY LANE,Banging/Pounding,,,575 HERKIMER STREET,11213,HATTIE JONES PLACE,JEWELL MCKOY LANE,HERKIMER STREET,40.67879880309846,"{'type': 'Point', 'coordinates': [-73.93402290349258, 40.67879880309846]}",,,,Residential Building/House,,-73.93402290349258,MOBILE,BROOKLYN,Unspecified,2020-03-25T15:50:43.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,HERKIMER STREET,,,45885375,,1002550,186588
9,,NYPD,New York City Police Department,4081490108,QUEENS,,,LITTLE NECK,2020-03-25T04:00:29.000,11 QUEENS,Illegal Parking,2020-03-25T00:03:19.000,254 STREET,255 STREET,Commercial Overnight Parking,,,254-10 39 AVENUE,11363,254 STREET,255 STREET,39 AVENUE,40.77539198700439,"{'type': 'Point', 'coordinates': [-73.74107010188945, 40.77539198700439]}",,,,Street/Sidewalk,,-73.74107010188945,MOBILE,QUEENS,Unspecified,2020-03-25T08:00:31.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,39 AVENUE,,,45886439,,1055965,221879
