,address_type,agency,agency_name,bbl,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
0,,DPR,Department of Parks and Recreation,4080440009,QUEENS,LITTLE NECK,,11 QUEENS,Dead/Dying Tree,2020-03-26T00:00:19.000,BEND,WEST DRIVE,Planted More Than 2 Years Ago,,7 SHORE ROAD,11363,BEND,WEST DRIVE,SHORE ROAD,40.773938520061236,"{'type': 'Point', 'coordinates': [-73.75288921545719, 40.773938520061236]}",,,,Street,,-73.75288921545719,UNKNOWN,QUEENS,Unspecified,,,In Progress,SHORE ROAD,,45893032,1052693,221340
1,,DPR,Department of Parks and Recreation,4080440001,QUEENS,LITTLE NECK,,11 QUEENS,Root/Sewer/Sidewalk Condition,2020-03-26T00:00:19.000,DEAD END,RIDGE ROAD,Trees and Sidewalks Program,,1 ALSTON PLACE,11363,DEAD END,RIDGE ROAD,ALSTON PLACE,40.7734412364176,"{'type': 'Point', 'coordinates': [-73.7526636027962, 40.7734412364176]}",,,,Street,,-73.7526636027962,UNKNOWN,QUEENS,Unspecified,,,In Progress,ALSTON PLACE,,45893506,1052756,221159
2,,DPR,Department of Parks and Recreation,4080440001,QUEENS,LITTLE NECK,,11 QUEENS,Overgrown Tree/Branches,2020-03-26T00:00:19.000,DEAD END,RIDGE ROAD,Dead Branches in Tree,,1 ALSTON PLACE,11363,DEAD END,RIDGE ROAD,ALSTON PLACE,40.7734412364176,"{'type': 'Point', 'coordinates': [-73.7526636027962, 40.7734412364176]}",,,,Street,,-73.7526636027962,UNKNOWN,QUEENS,Unspecified,,,In Progress,ALSTON PLACE,,45893948,1052756,221159
3,,DPR,Department of Parks and Recreation,4080440009,QUEENS,LITTLE NECK,,11 QUEENS,New Tree Request,2020-03-26T00:00:19.000,BEND,WEST DRIVE,For One Address,,7 SHORE ROAD,11363,BEND,WEST DRIVE,SHORE ROAD,40.773938520061236,"{'type': 'Point', 'coordinates': [-73.75288921545719, 40.773938520061236]}",,,,Street,,-73.75288921545719,UNKNOWN,QUEENS,Unspecified,,,In Progress,SHORE ROAD,,45891987,1052693,221340
4,,DPR,Department of Parks and Recreation,4080440009,QUEENS,LITTLE NECK,,11 QUEENS,Overgrown Tree/Branches,2020-03-26T00:00:19.000,BEND,WEST DRIVE,Dead Branches in Tree,,7 SHORE ROAD,11363,BEND,WEST DRIVE,SHORE ROAD,40.773938520061236,"{'type': 'Point', 'coordinates': [-73.75288921545719, 40.773938520061236]}",,,,Street,,-73.75288921545719,UNKNOWN,QUEENS,Unspecified,,,In Progress,SHORE ROAD,,45894569,1052693,221340
5,,DPR,Department of Parks and Recreation,4080440013,QUEENS,LITTLE NECK,,11 QUEENS,Overgrown Tree/Branches,2020-03-26T00:00:21.000,36 AVENUE,ALSTON PLACE,Dead Branches in Tree,,36-18 WEST DRIVE,11363,36 AVENUE,ALSTON PLACE,WEST DRIVE,40.77374478396999,"{'type': 'Point', 'coordinates': [-73.7521425691133, 40.77374478396999]}",,,,Street,,-73.7521425691133,UNKNOWN,QUEENS,Unspecified,,,In Progress,WEST DRIVE,,45891504,1052900,221270
6,,NYPD,New York City Police Department,1022250004,MANHATTAN,NEW YORK,,12 MANHATTAN,Noise - Street/Sidewalk,2020-03-26T00:00:24.000,ACADEMY STREET,WEST  204 STREET,Loud Talking,,61 VERMILYEA AVENUE,10034,ACADEMY STREET,WEST  204 STREET,VERMILYEA AVENUE,40.86556098738824,"{'type': 'Point', 'coordinates': [-73.92383009870014, 40.86556098738824]}",,,,Street/Sidewalk,,-73.92383009870014,MOBILE,MANHATTAN,Unspecified,,,In Progress,VERMILYEA AVENUE,,45895064,1005318,254634
7,,NYPD,New York City Police Department,1003480026,MANHATTAN,NEW YORK,,03 MANHATTAN,Noise - Residential,2020-03-26T00:00:26.000,RIVINGTON STREET,DELANCEY STREET,Loud Music/Party,,95 CLINTON STREET,10002,RIVINGTON STREET,DELANCEY STREET,CLINTON STREET,40.71850886216356,"{'type': 'Point', 'coordinates': [-73.98537538326163, 40.71850886216356]}",,,,Residential Building/House,,-73.98537538326163,MOBILE,MANHATTAN,Unspecified,,,In Progress,CLINTON STREET,,45895059,988304,201049
8,,NYPD,New York City Police Department,4003687501,QUEENS,LONG ISLAND CITY,2020-03-26T00:57:27.000,01 QUEENS,Blocked Driveway,2020-03-26T00:00:34.000,CRESCENT STREET,27 STREET,No Access,,25-11 38 AVENUE,11101,CRESCENT STREET,27 STREET,38 AVENUE,40.75573812290376,"{'type': 'Point', 'coordinates': [-73.93567202431365, 40.75573812290376]}",,,,Street/Sidewalk,,-73.93567202431365,PHONE,QUEENS,Unspecified,2020-03-26T04:57:34.000,The Police Department issued a summons in response to the complaint.,Closed,38 AVENUE,,45892881,1002072,214619
9,,NYPD,New York City Police Department,5001960001,STATEN ISLAND,STATEN ISLAND,,01 STATEN ISLAND,Noise - Residential,2020-03-26T00:00:50.000,BROADWAY,CHAPPELL STREET,Loud Music/Party,,778 HENDERSON AVENUE,10310,BROADWAY,CHAPPELL STREET,HENDERSON AVENUE,40.63688001184206,"{'type': 'Point', 'coordinates': [-74.11804645884163, 40.63688001184206]}",,,,Residential Building/House,,-74.11804645884163,ONLINE,STATEN ISLAND,Unspecified,2020-03-26T04:39:08.000,Your complaint has been received by the Police Department and additional information will be availab,In Progress,HENDERSON AVENUE,,45893817,951487,171331
