url,time,level,Date,Location,Result,name,parent,Belligerents.allies,Belligerents.axis,Commanders and leaders.allies,Commanders and leaders.axis,Strength.allies,Strength.axis,Casualties and losses.allies,Casualties and losses.axis,Territorialchanges
https://en.wikipedia.org/wiki/Battle_of_Pearl_Harbor,7 December 1941,1,"December 7, 1941; 78 years ago (1941-12-07)","Oahu, Hawaii Territory, U.S.","Major Japanese tactical victory; precipitated the entrance of the United States into World War II, other consequences",Attack on Pearl Harbor,Japanese attacks on the U.S. or U.S. unincorporated territories,United States,Japan,Husband E. Kimmel   Walter Short   Robert A. Theobald,Chūichi Nagumo   Isoroku Yamamoto   Mitsuo Fuchida,8 battleships 8 cruisers 30 destroyers 4 submarines 3  USCG  cutters [nb 1] 47 other ships [4] ≈390 aircraft,Mobile Unit : 6 aircraft carriers 2 battleships 2 heavy cruisers 1 light cruiser 9 destroyers 8 tankers 23 fleet submarines 5 midget submarines 414 aircraft (350 took part in the raid),"4 battleships sunk 4 battleships damaged 1 ex-battleship sunk 1 harbor tug sunk 3 cruisers damaged [nb 2] 3 destroyers damaged 3 other ships damaged 188 aircraft destroyed 159 [6]  aircraft damaged 2,335 killed 1,143 wounded",4 midget submarines sunk 1 midget submarine grounded 29 aircraft destroyed 74 aircraft damaged 64 killed 1  sailor  captured [7],
https://en.wikipedia.org/wiki/Battle_of_Guam_(1941),December 1941,1,"December 8–10, 1941","Guam, Mariana Islands, Pacific Ocean",Japanese victory,Battle of Guam (1941),Japanese attacks on the U.S. or U.S. unincorporated territories,United States,Japan,George J. McMillin,Tomitaro Horii,Land: 547  marines  and  sailors Sea: 1  minesweeper 2  patrol boats 1  freighter,"Land: 5,900 infantry and marines Sea: 4  heavy cruisers 4  destroyers 2  gunboats 6  submarine chasers 2 minesweepers 2  tenders Air: unknown air forces",17 killed 35 wounded 406 captured 1 minesweeper scuttled 1 patrol boat scuttled 1 patrol boat captured 1 freighter damaged,1 killed 6 wounded 1 aircraft destroyed,
https://en.wikipedia.org/wiki/Battle_of_Wake_Island,December 1941,1,8–23 December 1941,"Wake Island, U.S. territory",Japanese victory,Battle of Wake Island,Japanese attacks on the U.S. or U.S. unincorporated territories,Japan,United States,Shigeyoshi Inoue   Sadamichi Kajioka   Shigematsu Sakaibara   Eiji Gotō   Tamon Yamaguchi,Winfield S. Cunningham   ( POW )   James P.S. Devereux   ( POW )   Paul A. Putnam   ( POW )   Henry T. Elrod   †,"First Attempt (11 December): 3 light cruisers  6 destroyers 2 patrol boats 2 troop transports 1 submarine tender 3 submarines Reinforcements arriving for Second Attempt (23 December):  2 aircraft carriers 2 heavy cruisers   2 destroyers   2,500 infantry [1]","449 USMC personnel consisting of: 
 
 399 infantry of the  1st Defense Battalion 
 50  det. VMF-211 
6 coastal artillery pieces 12 aircraft 12 anti-aircraft guns 68 U.S. Navy personnel 5 U.S. Army personnel",First attempt: 2 destroyers sunk 340 killed  65 wounded   2 missing [2]   Second attempt: 2 patrol boats wrecked 10 aircraft lost 20 aircraft damaged 144 casualties [3],52 killed 49 wounded 2 missing 12 aircraft lost [4] 433 captured [5],
https://en.wikipedia.org/wiki/Philippines_Campaign_(1941%E2%80%9342),December 1941 – May 1942,1,8 December 1941 – 8 May 1942,Philippines,Japanese victory,Japanese occupation of Philippines,Japanese attacks on the U.S. or U.S. unincorporated territories,Japan,"United States 
 
   Philippines",Masaharu Homma   Hideyoshi Obata   Ibō Takahashi   Nishizō Tsukahara,Douglas MacArthur   Jonathan Wainwright     George Parker     Manuel L. Quezon   Basilio J. Valdes,"129,435 troops [1] 90 tanks 541 aircraft","151,000 troops [2] 108  tanks [3] 277 aircraft [4]","Japanese source: 11,225 
 
 4,130 killed 
 287 missing 
 6,808 wounded [5] 
 
 US estimate: 17,000–19,000 
 
 7,000 killed or wounded 
 10,000–12,000 dead of disease [6]","146,000 
 
 25,000 killed 
 21,000 wounded 
 100,000 captured [7]",Japanese occupation of the Philippines
https://en.wikipedia.org/wiki/Battle_of_Coral_Sea,May 1942,1,4–8 May 1942,"Coral Sea, between Australia, New Guinea, and the Solomon Islands",Both sides claim victory; see Significance,Battle of Coral Sea,Japanese attacks on the U.S. or U.S. unincorporated territories,United States   Australia,Japan,Chester W. Nimitz   Frank J. Fletcher   Thomas C. Kinkaid   Aubrey Fitch   George Brett   Douglas MacArthur   John Crace,Isoroku Yamamoto   Shigeyoshi Inoue   Takeo Takagi   Kiyohide Shima   Aritomo Gotō   Chūichi Hara   Sadamichi Kajioka,"2  fleet carriers , 9  cruisers , 14  destroyers , 2  oilers , 128  carrier aircraft . [1]","2 fleet carriers, 1  light carrier , 9 cruisers, 15 destroyers, 5  minesweepers , 2  minelayers , 2  submarine chasers , 3  gunboats , 1 oiler, 1 seaplane tender, 12  transports , 139 carrier aircraft. [2]","1 fleet carrier  scuttled , 1 destroyer sunk, 1 oiler sunk, 1 fleet carrier damaged, 69 aircraft destroyed. [3] 656 killed [4]","1 light carrier sunk, 1 destroyer sunk, 3 small warships sunk, 1 fleet carrier damaged, 1 destroyer damaged, 1 smaller warship damaged, 1 transport damaged, 69 - 97 aircraft destroyed. [5] 966 killed [6]",
https://en.wikipedia.org/wiki/Battle_of_Midway,June 1942,1,4–7 June 1942,Midway Atoll28°12′N 177°21′W﻿ / ﻿28.200°N 177.350°W﻿ / 28.200; -177.350Coordinates: 28°12′N 177°21′W﻿ / ﻿28.200°N 177.350°W﻿ / 28.200; -177.350,American victory,Battle of Midway,Japanese attacks on the U.S. or U.S. unincorporated territories,United States,Japan,"Chester W. Nimitz 
 Frank Jack Fletcher 
 Raymond A. Spruance","Isoroku Yamamoto 
 Nobutake Kondō 
 Chūichi Nagumo 
 Tamon Yamaguchi   †",3  fleet carriers 7  heavy cruisers 1  light cruiser 15  destroyers 233 carrier-based aircraft 127 land-based aircraft 16  submarines [1],1st Carrier Striking Force: 4 fleet carriers 2  battleships 2 heavy cruisers 1 light cruiser 12 destroyers 248 carrier-based aircraft [2] 16  floatplanes Midway Support Force: 4 heavy cruisers 2 destroyers 12 floatplanes Did not participate in battle: 2  light carriers 5 battleships 4 heavy cruisers 2 light cruisers ~35 support ships,"1 fleet carrier sunk 1 destroyer sunk ~150 aircraft destroyed 307 killed, [3]  including 3 killed as prisoners","4 fleet carriers sunk 1 heavy cruiser sunk 1 heavy cruiser damaged 248 aircraft destroyed [4] 3,057 killed [5] 37 captured [6]",
https://en.wikipedia.org/wiki/Battle_of_Dutch_Harbor,", June 1942",1,"June 3–4, 1942","Dutch Harbor Naval Operating Base and U.S. Army Fort Mears,Dutch Harbor, Amaknak Island,Aleutian Islands archipelago,Alaska53°53′15″N 166°32′32″W﻿ / ﻿53.88750°N 166.54222°W﻿ / 53.88750; -166.54222Coordinates: 53°53′15″N 166°32′32″W﻿ / ﻿53.88750°N 166.54222°W﻿ / 53.88750; -166.54222",Japanese tactical victory,Battle of Dutch Harbor,Japanese attacks on the U.S. or U.S. unincorporated territories,United States,Japan,"Robert Alfred Theobald Simon Bolivar Buckner, Jr. Archibald V. Arnold",Kakuji Kakuta,37th Infantry Regiment 206th Coast Artillery (AA) 1 search light battery  6 anti-aircraft batteries U.S. Marines 30  fighters,2  aircraft carriers 3  cruisers 5  destroyers 40 fighters 21  torpedo bombers 21  dive bombers 4  reconnaissance aircraft,43 dead 50 wounded 14 aircraft destroyed Fort Mears moderately damaged Dutch Harbor moderately damaged 1  barracks ship  destroyed,10 dead unknown wounded 5 captured 8 aircraft destroyed 1 aircraft captured [1],
https://en.wikipedia.org/wiki/Japanese_occupation_of_Kiska,June 1942,1,6 June 1942 – 28 July 1943,"Kiska, Aleutian Islands51°58′23″N 177°29′42″E﻿ / ﻿51.973°N 177.495°E﻿ / 51.973; 177.495Coordinates: 51°58′23″N 177°29′42″E﻿ / ﻿51.973°N 177.495°E﻿ / 51.973; 177.495",Japanese victory,Japanese occupation of Kiska,Japanese attacks on the U.S. or U.S. unincorporated territories,"United States 
 
   United States Navy","Japan 
 
   Imperial Japanese Navy 
   Special Naval Landing Forces",Lt.  Mulls (Not present during initial landing) [1],Kiichiro Higuchi   Takeji Ono   Boshiro Hosogaya   Monzo Akiyama,10-man  weather station 1-6 dogs 3 aircraft [1],"+500  Special Naval Landing Forces  (Initial force) 5,183-5,400 civilians and soldiers (Occupation) [2]",2 killed 7 captured 1 escaped (later surrendered),"No casualties during initial capture, or during occupation/withdraw.",Japanese occupation commences
https://en.wikipedia.org/wiki/Japanese_occupation_of_Attu,June 1942,1,7 June 1942 – 30 May 1943,"Attu, Aleutian Islands, Pacific Ocean52°55′27″N 173°09′24″E﻿ / ﻿52.9241°N 173.1568°E﻿ / 52.9241; 173.1568Coordinates: 52°55′27″N 173°09′24″E﻿ / ﻿52.9241°N 173.1568°E﻿ / 52.9241; 173.1568",Japanese occupation commences.,Japanese occupation of Attu,Japanese attacks on the U.S. or U.S. unincorporated territories,United States,Empire of Japan,N/A,Matsutoshi Hosumi   Yasuyo Yamasaki   Boshirō Hosogaya,N/A,"1,140 - 2,900",1 civilian killed 46 civilians captured,unknown,
https://en.wikipedia.org/wiki/Battle_of_Hong_Kong,December 1941,0,8–25 December 1941,Hong Kong,Japanese victory,Japanese occupation of Hong Kong,Pacific Theatre,"United Kingdom 
 
   Hong Kong 
   India 
   Canada   China [1]   Free France [2]",Japan [3],Mark. A Young   ( POW )   Christopher Maltby   ( POW )   John K. Lawson   †   Chan Chak [4],Takashi Sakai   Mineichi Koga     Tadamichi Kuribayashi,"14,564 troops 1 destroyer 1 gunboat","29,700 troops 47 planes 1 cruiser 3 destroyers 4 torpedo boats 3 gunboats","2,113 killed or missing 2,300 wounded 10,000 captured [a] 1 destroyer captured 1 gunboat sunk","675 killed 2,079 wounded [6]",Japanese occupation of Hong Kong
